epoch,class_id,class_name,precision,recall_sensitivity,specificity,f1
1,0,glioma,0.9754601226993865,0.9875776397515528,0.9877675840978594,0.9814814814814815
1,1,meningioma,0.75177304964539,0.9724770642201835,0.9076517150395779,0.8480000000000001
1,2,no_tumor,0.9696969696969697,1.0,0.9923469387755102,0.9846153846153847
1,3,pituitary,0.9764705882352941,0.680327868852459,0.994535519125683,0.8019323671497584
2,0,glioma,0.9938271604938271,1.0,0.9969418960244648,0.9969040247678018
2,1,meningioma,0.9636363636363636,0.9724770642201835,0.9894459102902374,0.9680365296803652
2,2,no_tumor,1.0,1.0,1.0,1.0
2,3,pituitary,0.9833333333333333,0.9672131147540983,0.994535519125683,0.9752066115702478
3,0,glioma,1.0,1.0,1.0,1.0
3,1,meningioma,0.9907407407407407,0.981651376146789,0.9973614775725593,0.9861751152073732
3,2,no_tumor,1.0,1.0,1.0,1.0
3,3,pituitary,0.983739837398374,0.9918032786885246,0.994535519125683,0.9877551020408164
4,0,glioma,1.0,1.0,1.0,1.0
4,1,meningioma,0.972972972972973,0.9908256880733946,0.9920844327176781,0.9818181818181818
4,2,no_tumor,1.0,1.0,1.0,1.0
4,3,pituitary,0.9916666666666667,0.9754098360655737,0.9972677595628415,0.9834710743801653
5,0,glioma,1.0,1.0,1.0,1.0
5,1,meningioma,0.9907407407407407,0.981651376146789,0.9973614775725593,0.9861751152073732
5,2,no_tumor,1.0,1.0,1.0,1.0
5,3,pituitary,0.983739837398374,0.9918032786885246,0.994535519125683,0.9877551020408164
6,0,glioma,1.0,1.0,1.0,1.0
6,1,meningioma,1.0,0.9724770642201835,1.0,0.986046511627907
6,2,no_tumor,1.0,1.0,1.0,1.0
6,3,pituitary,0.976,1.0,0.9918032786885246,0.9878542510121457
7,0,glioma,1.0,1.0,1.0,1.0
7,1,meningioma,0.990909090909091,1.0,0.9973614775725593,0.995433789954338
7,2,no_tumor,1.0,1.0,1.0,1.0
7,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
8,0,glioma,1.0,1.0,1.0,1.0
8,1,meningioma,0.990909090909091,1.0,0.9973614775725593,0.995433789954338
8,2,no_tumor,1.0,1.0,1.0,1.0
8,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
9,0,glioma,1.0,1.0,1.0,1.0
9,1,meningioma,0.9818181818181818,0.9908256880733946,0.9947229551451188,0.9863013698630138
9,2,no_tumor,1.0,1.0,1.0,1.0
9,3,pituitary,0.9917355371900827,0.9836065573770492,0.9972677595628415,0.9876543209876544
10,0,glioma,1.0,1.0,1.0,1.0
10,1,meningioma,1.0,0.981651376146789,1.0,0.9907407407407407
10,2,no_tumor,1.0,1.0,1.0,1.0
10,3,pituitary,0.9838709677419355,1.0,0.994535519125683,0.991869918699187
11,0,glioma,1.0,1.0,1.0,1.0
11,1,meningioma,0.9819819819819819,1.0,0.9947229551451188,0.9909090909090909
11,2,no_tumor,1.0,1.0,1.0,1.0
11,3,pituitary,1.0,0.9836065573770492,1.0,0.9917355371900827
12,0,glioma,1.0,1.0,1.0,1.0
12,1,meningioma,0.9732142857142857,1.0,0.9920844327176781,0.9864253393665159
12,2,no_tumor,1.0,1.0,1.0,1.0
12,3,pituitary,1.0,0.9754098360655737,1.0,0.9875518672199171
13,0,glioma,1.0,1.0,1.0,1.0
13,1,meningioma,0.9908256880733946,0.9908256880733946,0.9973614775725593,0.9908256880733946
13,2,no_tumor,1.0,1.0,1.0,1.0
13,3,pituitary,0.9918032786885246,0.9918032786885246,0.9972677595628415,0.9918032786885246
14,0,glioma,1.0,0.9937888198757764,1.0,0.9968847352024921
14,1,meningioma,0.9819819819819819,1.0,0.9947229551451188,0.9909090909090909
14,2,no_tumor,1.0,1.0,1.0,1.0
14,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
15,0,glioma,1.0,1.0,1.0,1.0
15,1,meningioma,1.0,1.0,1.0,1.0
15,2,no_tumor,1.0,1.0,1.0,1.0
15,3,pituitary,1.0,1.0,1.0,1.0
16,0,glioma,1.0,1.0,1.0,1.0
16,1,meningioma,0.9732142857142857,1.0,0.9920844327176781,0.9864253393665159
16,2,no_tumor,1.0,1.0,1.0,1.0
16,3,pituitary,1.0,0.9754098360655737,1.0,0.9875518672199171
17,0,glioma,1.0,1.0,1.0,1.0
17,1,meningioma,0.990909090909091,1.0,0.9973614775725593,0.995433789954338
17,2,no_tumor,1.0,1.0,1.0,1.0
17,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
18,0,glioma,0.9938271604938271,1.0,0.9969418960244648,0.9969040247678018
18,1,meningioma,0.9819819819819819,1.0,0.9947229551451188,0.9909090909090909
18,2,no_tumor,1.0,1.0,1.0,1.0
18,3,pituitary,1.0,0.9754098360655737,1.0,0.9875518672199171
19,0,glioma,1.0,1.0,1.0,1.0
19,1,meningioma,0.9819819819819819,1.0,0.9947229551451188,0.9909090909090909
19,2,no_tumor,1.0,1.0,1.0,1.0
19,3,pituitary,1.0,0.9836065573770492,1.0,0.9917355371900827
20,0,glioma,1.0,1.0,1.0,1.0
20,1,meningioma,0.990909090909091,1.0,0.9973614775725593,0.995433789954338
20,2,no_tumor,1.0,1.0,1.0,1.0
20,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
21,0,glioma,1.0,1.0,1.0,1.0
21,1,meningioma,0.9819819819819819,1.0,0.9947229551451188,0.9909090909090909
21,2,no_tumor,1.0,1.0,1.0,1.0
21,3,pituitary,1.0,0.9836065573770492,1.0,0.9917355371900827
