epoch,lr,train_loss,val_loss,train_accuracy,val_accuracy,val_f1_macro
1,9.997532801828658e-05,0.3913150352349403,0.3414655782160212,0.8827353720202263,0.9098360655737705,0.9040073083116562
2,9.990133642141359e-05,0.19964355820565233,0.15280666373303678,0.969178906814351,0.985655737704918,0.9850367915046037
3,9.977809823015401e-05,0.1711124041311258,0.13279828960534001,0.9782085239585842,0.9938524590163934,0.9934825543120474
4,9.960573506572391e-05,0.14616206908711118,0.13111460782953951,0.9861545870455093,0.9918032786885246,0.9913223140495868
5,9.93844170297569e-05,0.13808478592979515,0.12146345483230762,0.9898868287984589,0.9938524590163934,0.9934825543120474
6,9.911436253643445e-05,0.13129276950194868,0.12353092212168897,0.9919335420178185,0.9938524590163934,0.9934751906600132
7,9.879583809693738e-05,0.12642358143358898,0.10449730293428311,0.9936190705514086,0.9979508196721312,0.9978296409042223
8,9.842915805643157e-05,0.12492223512026995,0.10418475614707978,0.993739465446665,0.9979508196721312,0.9978296409042223
9,9.801468428384717e-05,0.11716576502383717,0.11680888036479715,0.9966289429328197,0.9938524590163934,0.993488922712667
10,9.75528258147577e-05,0.11732211685879616,0.13302018701053056,0.9956657837707681,0.9959016393442623,0.9956526648599818
11,9.70440384477113e-05,0.11595380226589243,0.11424986853218469,0.9968697327233326,0.9959016393442623,0.9956611570247935
12,9.64888242944126e-05,0.11270887381537346,0.11456005153108816,0.9971105225138455,0.9938524590163934,0.9934943016466082
13,9.588773128419907e-05,0.11490369482468675,0.10881170166320488,0.9951842041897424,0.9959016393442623,0.9956572416904799
14,9.5241352623301e-05,0.11061307969629808,0.11285367821816539,0.9980736816758969,0.9959016393442623,0.9959196499435337
15,9.455032620941843e-05,0.11389656648911714,0.10443542225927603,0.9968697327233326,1.0,1.0
16,9.381533400219321e-05,0.10973497099821004,0.1136145966707683,0.9980736816758969,0.9938524590163934,0.9934943016466082
17,9.303710135019722e-05,0.10834532446016497,0.1133265344456571,0.9975921020948711,0.9979508196721312,0.9978296409042223
18,9.22163962751008e-05,0.10832609955285102,0.1119764040483803,0.997832891885384,0.9938524590163934,0.9938412457242025
19,9.135402871372814e-05,0.11626207390421131,0.1037648398368085,0.9949434143992295,0.9959016393442623,0.9956611570247935
20,9.045084971874742e-05,0.10864735187147716,0.10675577672778583,0.9974717071996148,0.9979508196721312,0.9978296409042223
21,8.950775061878456e-05,0.1055828404016102,0.10570946879318503,0.9984348663616662,0.9959016393442623,0.9956611570247935
