epoch,lr,train_loss,val_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_auc_macro_ovr,train_auc_weighted_ovr,train_nll,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,val_auc_macro_ovr,val_auc_weighted_ovr,val_nll
1,9.997532801828658e-05,0.5043330756414482,0.253593165140089,0.8305029920750445,0.831051737510978,0.8304616205201749,0.8303652403953556,0.8326680959533789,0.8305029920750445,0.8311803356507382,,,0.44266859430491645,0.9374565670604587,0.9349859737405287,0.9356613669639451,0.9346097833385216,0.9404045103172085,0.9374565670604587,0.9382913146754023,,,0.17488989761902
2,9.990133642141359e-05,0.25362662493112537,0.21477770519554823,0.9451722464822901,0.9447798598555168,0.9450005572715413,0.9448468456595385,0.9453370865375874,0.9451722464822901,0.9452084868390213,,,0.1718529148568888,0.9576094510076442,0.9577479602710769,0.9533504544429667,0.9547403635936931,0.9580396196013148,0.9576094510076442,0.9570996774269327,,,0.1356463270424812
3,9.977809823015401e-05,0.19929612951647516,0.1922281963531966,0.9679767103347889,0.9677720137981414,0.9675309209683173,0.9675941632791812,0.9678305377434275,0.9679767103347889,0.9678484343863293,,,0.1122852820730306,0.9749826268241835,0.9736169003410382,0.9740102239138965,0.973384581943675,0.9759554983369413,0.9749826268241835,0.9750690822839133,,,0.11270475173144918
4,9.960573506572391e-05,0.16985010445484275,0.1681624221576014,0.977842471292253,0.9776065100055178,0.9779700172909152,0.9777777480213394,0.9778465591502022,0.977842471292253,0.9778337453588947,,,0.0813864555217853,0.9763724808895066,0.9756388843555845,0.9744957463890294,0.9749203228184035,0.9764995087378932,0.9763724808895066,0.9763015511694507,,,0.07817608528802059
5,9.93844170297569e-05,0.1555676586985029,0.1805004334495331,0.9841500889535824,0.9841438175379433,0.9839641853600676,0.9840448187311107,0.9841223525904497,0.9841500889535824,0.9841272339556285,,,0.06769238093675162,0.9770674079221682,0.9762819213294278,0.9762937418149857,0.975976643775289,0.9777201021958379,0.9770674079221682,0.9770901395482594,,,0.08721108081939032
6,9.911436253643445e-05,0.14174139176721465,0.14603983443631655,0.9881934336082808,0.9882059678303776,0.9882377358823823,0.9882204657607176,0.9881894653664334,0.9881934336082808,0.9881900594956337,,,0.0543959880631933,0.990271021542738,0.9895863971503125,0.9900198358404162,0.9897815668298694,0.9903457076710838,0.990271021542738,0.9902881768976025,,,0.055032573661917064
7,9.879583809693738e-05,0.1303675913240037,0.1382449211201956,0.9932071809801067,0.9931254589660965,0.9932378514441451,0.9931797469906231,0.9932197314807072,0.9932071809801067,0.9932116034536448,,,0.041924256714883965,0.9881862404447533,0.9874569266778278,0.9879105222820967,0.9876530610321301,0.9882551367507807,0.9881862404447533,0.9881876566901301,,,0.04588767226260672
8,9.842915805643157e-05,0.13183231673834683,0.1553704301678447,0.992721979621543,0.9927214395896687,0.9927372304362712,0.9927286446542911,0.9927193089934534,0.992721979621543,0.9927199626014096,,,0.0445698197118614,0.9833217512161223,0.981964562669007,0.9832035009400221,0.9824273684750127,0.9838103313943961,0.9833217512161223,0.9834263863256357,,,0.06274552181018314
9,9.801468428384717e-05,0.12453254999132887,0.14199064078639165,0.9954714539867379,0.9954105980138487,0.9954943445644333,0.9954515490581766,0.9954717765797851,0.9954714539867379,0.9954706610931126,,,0.03698184793506516,0.9881862404447533,0.9875682812781246,0.9876102032485338,0.9875846551630961,0.988186590366358,0.9881862404447533,0.9881817506046182,,,0.058782150671571214
10,9.75528258147577e-05,0.1181302644805231,0.1438813863724698,0.9969270580624292,0.9969127009130216,0.9969152077850431,0.9969138486357491,0.9969278639370915,0.9969270580624292,0.996927356224407,,,0.030901517576999202,0.9881862404447533,0.9881212153672254,0.9874558655479311,0.9877347112403725,0.9883009360335213,0.9881862404447533,0.9881895031036155,,,0.05177397685690933
11,9.70440384477113e-05,0.12521117248789462,0.13605250468926763,0.9946627850557982,0.9946693545067948,0.9945749741445568,0.9946207706858611,0.9946595963733401,0.9946627850557982,0.994659846663086,,,0.038043277853311915,0.9881862404447533,0.9881812136026022,0.9873652832094708,0.987689839876871,0.9883206263261006,0.9881862404447533,0.9881766534944056,,,0.056775534701084325
12,9.64888242944126e-05,0.11762328247566661,0.14361292244432866,0.9964418567038654,0.9963934128605226,0.9964741924343569,0.9964325230054958,0.9964450301731723,0.9964418567038654,0.9964421027507216,,,0.030907197922007076,0.9861014593467686,0.9850115560149789,0.9859395160736023,0.9852899498074125,0.9864765914550108,0.9861014593467686,0.9861171628861481,,,0.058874397308779323
13,9.588773128419907e-05,0.1174772132947841,0.13523771303697457,0.9962801229176775,0.9962793936333929,0.9962850171094042,0.9962818730568309,0.9962823726232891,0.9962801229176775,0.9962808995636795,,,0.030359788131303904,0.9881862404447533,0.9878529220608546,0.9873903665442803,0.987615180806457,0.988176640294124,0.9881862404447533,0.9881749345708799,,,0.04897005952616069
14,9.5241352623301e-05,0.11261877984642385,0.13409618118452976,0.9982209283519328,0.9981728967961101,0.9982440963923727,0.9982078190768267,0.9982231555010432,0.9982209283519328,0.9982213645012635,,,0.026346462821804723,0.990271021542738,0.9899593748659158,0.9895150124366315,0.9897218460451565,0.9902693013501651,0.990271021542738,0.990256386813699,,,0.04933679675407032
15,9.455032620941843e-05,0.11238454731873242,0.13241065913828154,0.9980591945657448,0.9980063034139339,0.9979880923984007,0.9979959516890494,0.9980609627670588,0.9980591945657448,0.998058909977143,,,0.026398854585234055,0.9916608756080612,0.9912502692695068,0.99139829242473,0.9913161250919973,0.9916829307385949,0.9916608756080612,0.9916635395995524,,,0.04165815125848376
16,9.381533400219321e-05,0.11579933910525657,0.1280664679613107,0.9962801229176775,0.996270780806783,0.996306964721681,0.9962885478153719,0.996278624598167,0.9962801229176775,0.996279029671241,,,0.02972511951511378,0.990271021542738,0.9897853214543879,0.9898658471481865,0.9898177514155357,0.9902852117321518,0.990271021542738,0.9902699167886607,,,0.04538067657360155
17,9.303710135019722e-05,0.1117377357538437,0.1415501778804237,0.9978974607795569,0.9979011850414314,0.9979011850414314,0.9979011850414314,0.9978974607795569,0.9978974607795569,0.9978974607795569,,,0.026820480975122775,0.9888811674774148,0.988594197125432,0.988280444535397,0.9883834461009486,0.9890063398805272,0.9888811674774148,0.9888920360454148,,,0.060843862343477766
18,9.22163962751008e-05,0.11032120206730855,0.12941013805210963,0.9983826621381207,0.9983632924066603,0.998403484636338,0.998383224218382,0.9983833854977417,0.9983826621381207,0.998382863759818,,,0.024276543844393008,0.9937456567060459,0.9932631090896649,0.993676927009311,0.9934602329169893,0.9937807886698613,0.9937456567060459,0.9937541018052838,,,0.04684503496327028
19,9.135402871372814e-05,0.11298541022040168,0.13816076320873688,0.9974122594209931,0.9974112747083986,0.9974287040227254,0.9974199360551173,0.9974127394373222,0.9974122594209931,0.9974124467867722,,,0.027595363024598175,0.9888811674774148,0.9882435791217895,0.9881365558523179,0.9881822068374068,0.9888920222338268,0.9888811674774148,0.9888788867767461,,,0.04691648101932323
20,9.045084971874742e-05,0.11010705641215236,0.13356759079717115,0.9980591945657448,0.9980338227191081,0.9980358534607207,0.9980347782823348,0.9980588618057127,0.9980591945657448,0.9980589723178335,,,0.024831948928937104,0.9916608756080612,0.9910408194628333,0.9915397394495549,0.9912801073676966,0.9917007480726938,0.9916608756080612,0.9916710322049896,,,0.04561068971640396
